EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10622078,MUSLIM WOMENS COALITION,% TASNEEM SHAMIN,1283 STATE HIGHWAY 27,SOMERSET,NJ,08873-5053,0,3,3,1000,200411,1,15,0,1,1,201212,1,2,2,0,12,4647,20952,20952,T30,
10625542,SALEM HEALTH AND WELLNESS FOUNDATION INC,% BRENDA L GOINS EX DIRECTOR,91 S VIRGINIA AVE STE A,CARNEYS POINT,NJ,08069-1765,0,3,3,1000,200209,1,15,0,1,1,201312,9,8,1,0,12,61961269,42440526,1823237,E120,
10626708,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,900 BEACH BLVD,FORKED RIVER,NJ,08731-5225,1156,8,9,1000,195110,1,0,279265000,5,1,201403,4,5,1,0,3,104062,528194,128094,,2518 LACEY
10626929,CEDAR HILL HOME & SCHOOL CORP,% MERYL SIERADZKY TREASURER,PO BOX 444,TOWACO,NJ,07082-0444,0,3,3,1200,200411,1,16,0,1,1,201308,2,4,1,0,8,24261,110880,47885,B94,
10628055,GENABLE INC,% BRENDA REDIESS-HOOSEIN,PO BOX 82,LIBERTY COR,NJ,07938-0082,0,3,3,2000,200609,1,15,0,1,1,201212,0,0,2,0,12,0,0,0,P80,
10631614,EAST ORANGE CATHOLIC HIGH SCHOOL ALUMNAE ASSOCIATION INC,% MARY ANNE MCDONALD,PO BOX 62,MONTVILLE,NJ,07045-0062,0,3,3,1200,200508,1,15,0,1,1,201212,2,2,2,0,12,11548,10847,10847,B82,
10633472,UNION GOSPEL TABERNACLE OF NEWARK INC,% KENNETH TOWNSEND SR,PO BOX 3245,NEWARK,NJ,07103-0245,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10633982,CENTRAL JERSEY LACROSSE INC,% STEPHEN SHINNERS,106 COACHMAN DR N,FREEHOLD,NJ,07728-3153,0,3,3,1000,200610,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,N64,
10634308,RIVERSIDE SCHOOL PARENT TEACHER ORGANIZATION INC,% NICHOLAS KARP,58 RIVERSIDE DR,PRINCETON,NJ,08540-5498,0,3,3,1200,200301,1,15,0,1,1,201306,3,3,1,0,6,50155,59459,41741,B94,RIVERSIDE SCHOOL
10636574,THE GEORGE JOAN AND JACK SHUSTER FO UNDATION INC,% JACOB SHUSTER,1840 FRONTAGE RD APT 1006,CHERRY HILL,NJ,08034-2204,0,3,3,1000,200207,1,4,0,1,1,201312,6,5,0,1,12,3178096,644969,,T90,
10638275,GGWANGA MUJJE NY-NJ INC,% WYCLIFFE LULE-MUSOKE,1006 PARK AVE,PLAINFIELD,NJ,07060-3029,0,3,3,1000,200302,1,16,0,1,1,201212,1,1,2,0,12,4771,9877,9877,A23,
10639923,NORTH JERSEY CIVIL WAR ROUND TABLE,% RICH ROSENTHAL,3 CAMBRIDGE RD,MORRIS PLAINS,NJ,07950-1511,0,3,3,1000,200204,1,16,0,1,1,201312,0,0,2,0,12,0,0,0,A80,
10641444,POP WARNER LITTLE SCHOLARS INC,% MICHAEL BRUNO,PO BOX 5805,CLARK,NJ,07066-5805,9183,3,9,2000,199402,1,15,317000000,1,1,201312,2,4,1,0,12,10936,123039,68616,N65,CLARK POP WARNER FOOTBALL
10641661,DEITCHMAN CHARITABLE FOUNDATION INC,% MARTIN J DEITCHMAN,14 TANGLEWOOD DR,TITUSVILLE,NJ,08560-1411,0,3,3,1000,200204,1,4,0,1,1,201211,4,1,0,1,11,141975,6902,,T22,
10641860,LAKEWOOD OUTREACH MINISTRY CHURCH,% LEE TUCKER,1331 VENTURA DR,LAKEWOOD,NJ,08701-2262,0,3,3,7000,200208,1,10,0,1,1,201312,1,3,6,0,12,4459,45182,45182,X21,
10642350,TOASTMASTERS INTERNATIONAL,% LORRAINE M CAMPBELL,PO BOX 1623,RAHWAY,NJ,07065-7623,820,3,9,2000,194505,0,16,59319000,5,1,201312,0,0,2,0,12,0,0,0,,8349 IMPACT 21 CLUB
10644543,KANG EUN PRESBYTERIAN CHURCH,,18 ENGLE ST APT 9D,TENAFLY,NJ,07670-2826,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10644643,JOETTA CLARK DIGGS SPORTS FOUNDATION INC,% JOETTA CLARK DIGGS,PO BOX 6262,HILLSBOROUGH,NJ,08844-6262,0,3,3,1000,200301,1,4,0,1,25,201312,1,4,0,1,12,8463,125272,,N30,
10645917,SWAN CREEK ROWING CLUB,% GAIL BROCK,PO BOX 153,LAMBERTVILLE,NJ,08530-0153,0,7,3,1000,200401,2,0,0,1,1,201312,0,0,2,0,12,0,0,0,N67,
10659307,JEFFERSON PARK MINISTRIES INC,% ALEX ELIE,PO BOX 163,ELIZABETH,NJ,07207-0163,0,3,3,1270,200310,1,15,0,1,1,201212,4,5,1,0,12,122657,765962,765962,K34,JPM INC
10659365,SANTISUKHA BUDDHIST MEDITATION CENTER INC,% YOUN CHA CHOI,R2 SEMEL AVENUE,GARFIELD,NJ,07026-0000,0,3,3,7000,200305,1,10,0,1,1,,0,0,6,0,12,,,,X50,
10660247,WILLIAM J MARTIN FOUNDATION INC,% LAURA DAVIS,161 ESPANONG RD,LK HOPATCONG,NJ,07849-1701,0,3,3,2000,200209,1,4,0,1,1,201312,4,2,0,3,12,150807,18117,,B82,
10660264,TEAM ACADEMY CHARTER SCHOOL INC,% RYAN HILL,85 CUSTER AVE,NEWARK,NJ,07112-2511,0,3,3,2000,200501,1,11,0,1,1,201306,8,8,1,0,6,12094350,39891786,39891786,B29,
10663336,MARK A SIROLLI SCHOLARSHIP FUND,% PEG SIROLLI,504 FLEMING PIKE,HAMMONTON,NJ,08037-2525,0,3,3,1000,200607,1,4,0,1,1,201312,2,2,0,1,12,14491,16593,,B82,SIROLLI MARGARET
10664264,TRI-ARC COMMUNITY DEVELOPMENT CORPORATION,% TRINITY BAPTIST CHURCH,218 PASSAIC ST,HACKENSACK,NJ,07601-3525,0,3,3,1000,201409,1,15,0,1,1,201212,0,0,2,0,12,0,0,0,S20,
10665720,ERNST WESSEL FOUNDATION INC,% ANNE FOX VITALE,449 METLARS LN,PISCATAWAY,NJ,08854-5705,0,3,3,1000,200205,1,4,0,1,1,201312,5,1,0,1,12,523635,8071,,T20,
10666288,KIWANIS CLUB OF GLOUCESTER TOWNSHIP BLACKWOOD FOUNDATION INC,% WILLIAM E SAMPEY,241 KEYSTONE AVE,BLACKWOOD,NJ,08012-4709,0,3,3,1000,200212,1,4,0,1,1,201309,4,2,0,3,9,265675,17174,,P20,
10667013,NORTH HOWELL YOUTH SPORTS ASSOCIATION INC,% FRANK URSO,275 AMBIANCE BLVD,FREEHOLD,NJ,07728-8892,0,3,3,2000,200305,1,16,0,1,1,201309,0,0,2,0,9,0,0,0,N63,
10674634,GREATER DELIVERANCE CHURCH,% REV NATHANIEL FLOYD JR,46 VANCE AVE,SICKLERVILLE,NJ,08081-5502,0,3,3,7000,200304,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10675309,DDMBA NJ INC,% SUSY HSING ENG,789 JERSEY AVE,NEW BRUNSWICK,NJ,08901-3624,0,3,3,7100,200405,1,10,0,1,1,201212,4,4,6,0,12,402820,340826,330095,X70,
10677851,LA LECHE LEAGUE INTERNATIONAL INC,% DIANE JEFFER,1 BIRCH RIDGE RD,GREAT MEADOWS,NJ,07838-2703,3130,3,9,2100,197902,1,16,59120000,5,1,201403,0,0,2,0,3,0,0,0,,LLL OF HACKETTSTOWN NORTH
10680936,AMERICAN INTERNATIONAL SCHOOL OF RIYADH FOUNDATION,% ISS,PO BOX 5910,PRINCETON,NJ,08543-5910,0,3,3,2100,200209,1,15,0,1,1,201406,0,0,2,0,6,0,0,0,B12,
10681915,PREVAILING ROCK CHURCH INC,% MARINI & ASSOCIATES,191 WOODPORT RD STE 205,SPARTA,NJ,07871-2641,0,3,3,7000,200504,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10682278,COMBATT INC,% RHONDA UTLEY-HERRING,1763 6TH ST,EWING,NJ,08638-3005,0,3,3,1000,200210,1,15,0,1,1,201309,2,2,2,0,9,16752,17775,17509,N70,
10682831,RESURRECTION COMMUNITY CHURCH,% LORI FAIR,200 ATRIUM DR,SOMERSET,NJ,08873-4103,0,3,3,7000,200212,1,10,0,1,1,,0,0,6,0,11,,,,X21,
10683241,VOPICKA FAMILY FOUNDATION INC,% ROBERT J GAUGHRAN TTEE,PO BOX 4151,MIDDLETOWN,NJ,07748-4151,0,3,3,1000,200307,1,4,0,1,1,201309,5,3,0,1,9,580076,49124,,T20,
10685250,PARTNERS WITH JESUS CHRIST WORSHIP CENTER,% ALVIN G WATFORD,PO BOX 2020,WILLINGBORO,NJ,08046-6120,0,3,3,1000,200404,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10685306,BRIDGEWATER JUNIOR PANTHERS INC,% DAVID M MONAHAN JR,10 PRESIDENTS DR,BRIDGEWATER,NJ,08807-6102,0,3,3,1000,200305,1,16,0,1,1,201404,0,0,2,0,4,0,0,0,N68,
10685362,TARYAG LEGACY FOUNDATION INC,% ACCOUNTING OFFICE,1136 SOMERSET AVE,LAKEWOOD,NJ,08701-2138,0,3,3,2000,200308,1,16,0,1,1,201112,6,6,0,0,12,3712834,1071077,1071077,A33,
10687195,PROMOTING ACADEMICS THROUGH SPORT SUCCESS,% SHAWN EVANS,1452 PARKVIEW TER,HILLSIDE,NJ,07205-1507,0,3,3,1000,200407,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,O20,P A S S
10687526,LAKE HIAWATHA SWIM CLUB INC,% BETH HOFFER,PO BOX 125,LAKE HIAWATHA,NJ,07034-0125,0,3,3,1000,200206,1,16,0,1,1,201312,4,4,1,0,12,100129,148166,148166,N67,
